,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.14294202359637082,0.002914686689957541,0.002492434253631437,0.0018224100699168353,0.0011116161083810157,0.002464176533506468,0.0019771105473575775,0.0017535100712653016,0.002784064294111267,0.0010632300221970826,0.0014716304242705567,0.002319763621221244,0.0024768960544536206,0.002647342415286758,0.002209499682565952,0.0022150599871705095,0.0023086536063044016,0.0013699015826440226,0.0010488017813051953,0.001103606242158418
AXISBANK,0.002914686689957541,0.15079410584569125,0.005255358769299661,0.0029478726217567345,0.0022222053666694584,0.004888991383599021,0.004509371480542673,0.0018673737215520023,0.008258461768999508,0.002242379262530185,0.002259860735313473,0.004880521486748757,0.0059266734680330745,0.004728834432894144,0.0019925899272939976,0.004143717786492836,0.007249444930378565,0.0022202826670956995,0.0018213189848720556,0.001914513161448738
BAJFINANCE,0.002492434253631437,0.005255358769299661,0.15194137363658863,0.0025169297309754033,0.0015017042478511836,0.0041710515062618305,0.003255962173464465,0.0019409411494683828,0.004746341769093118,0.0016875199951083863,0.0021165852230929385,0.003977125168018142,0.003859671941302984,0.00395967926396443,0.0023081231909252257,0.0032024502666259756,0.00461849079416358,0.001873547290934923,0.0014999019849935005,0.0014174768971356405
BHARTIARTL,0.0018224100699168353,0.0029478726217567345,0.0025169297309754033,0.14690662784562006,0.001211911911929255,0.002658412836395477,0.002176553585567208,0.0013340532208203592,0.0033108523107272386,0.0015121329520410426,0.001774886612993168,0.002251915511964596,0.0028637672136425252,0.002267743909374154,0.0007762170256607316,0.0026557718870787333,0.0033022568661347286,0.0015092337712409392,0.0011995122557137226,0.0011831704253089733
HCLTECH,0.0011116161083810157,0.0022222053666694584,0.0015017042478511836,0.001211911911929255,0.14460731937690113,0.0019777015479179663,0.001640182474627803,0.0013616617424289069,0.0023043477580144433,0.0036831422095457813,0.0013075866754250064,0.0017412761778453378,0.001733691545007818,0.001588249650754331,0.0004274780375946475,0.0022089278402982002,0.0016752336484014583,0.0013879228972075983,0.003770694025906028,0.0033498875059861143
HDFC,0.002464176533506468,0.004888991383599021,0.0041710515062618305,0.002658412836395477,0.0019777015479179663,0.14428231359329033,0.004127262516639367,0.0017794919011899287,0.004907239609966843,0.00196529778095948,0.0024826911453524774,0.004061109296790964,0.0037773206616899127,0.0032884829094764994,0.0006994967096215882,0.0031644224498518078,0.0042130324668627405,0.0017311635798331457,0.001743697325424344,0.001664976691185119
HDFCBANK,0.0019771105473575775,0.004509371480542673,0.003255962173464465,0.002176553585567208,0.001640182474627803,0.004127262516639367,0.14162561645697042,0.001538275186183238,0.004356024072826904,0.0016580496406409446,0.0019433575070928492,0.003868723040417086,0.0035233371787324877,0.002842515482599747,0.0011126996512426449,0.002895146547028014,0.00354410634522316,0.0016048858806411318,0.0015184869580970371,0.0013414111941976057
HINDUNILVR,0.0017535100712653016,0.0018673737215520023,0.0019409411494683828,0.0013340532208203594,0.001361661742428907,0.0017794919011899287,0.001538275186183238,0.14222782636423634,0.001924810342529081,0.0011573422560721353,0.0016245172749620057,0.0018538980979706258,0.0015876137599932182,0.0017746827567064662,0.001967522515483621,0.0017679995421195952,0.0014346999083678603,0.0012281936191491202,0.0011628197469241808,0.0011896218788316122
ICICIBANK,0.002784064294111267,0.008258461768999508,0.004746341769093118,0.0033108523107272386,0.0023043477580144433,0.004907239609966843,0.004356024072826904,0.001924810342529081,0.14807234808650116,0.002338390737596184,0.0025202830395496994,0.004665969921927107,0.005612374297833589,0.004230615424537774,0.0010087672790207315,0.00425017933291843,0.007785725448593407,0.0021798808810532663,0.001995475210069345,0.002000981995933017
INFY,0.0010632300221970826,0.002242379262530185,0.0016875199951083863,0.0015121329520410426,0.0036831422095457813,0.00196529778095948,0.0016580496406409446,0.0011573422560721353,0.002338390737596184,0.14432418020167423,0.0011353643261029149,0.0017896414849477267,0.0018065233997161848,0.0013411486866063184,0.00021414136708193144,0.0018782308325366063,0.0018168206247143638,0.0012946893602577292,0.0036816662797462844,0.003197479371004989
