Company Name (M.Cap),Tickers,Market Cap (Cr),Market Cap
Reliance Industries Ltd.(L),RELIANCE.NS,1039662,1.03966E+13
Tata Consultancy Services Ltd.(L),TCS.NS,775918,7.75918E+12
HDFC Bank Ltd.(L),HDFCBANK.NS,531433,5.31433E+12
Hindustan Unilever Ltd.(L),HINDUNILVR.NS,494932,4.94932E+12
Housing Development Finance Corporation Ltd.(L),HDFC.NS,309535,3.09535E+12
Bharti Airtel Ltd.(L),BHARTIARTL.NS,300929,3.00929E+12
Infosys Ltd.(L),INFY.NS,299671,2.99671E+12
Kotak Mahindra Bank Ltd.(L),KOTAKBANK.NS,256977,2.56977E+12
ITC Ltd.(L),ITC.NS,239207,2.39207E+12
ICICI Bank Ltd.(L),ICICIBANK.NS,220911,2.20911E+12
Maruti Suzuki India Ltd.(L),MARUTI.NS,163946,1.63946E+12
Nestle India Ltd.(L),NESTLEIND.NS,160074,1.60074E+12
State Bank Of India(L),SBIN.NS,158144,1.58144E+12
HCL Technologies Ltd.(L),HCLTECH.NS,156863,1.56863E+12
Asian Paints Ltd.(L),ASIANPAINT.NS,154388,1.54388E+12
Bajaj Finance Ltd.(L),BAJFINANCE.NS,140624,1.40624E+12
Larsen & Toubro Ltd.(L),LT.NS,130585,1.30585E+12
Wipro Ltd.(L),WIPRO.NS,121582,1.21582E+12
Axis Bank Ltd.(L),AXISBANK.NS,116675,1.16675E+12
Sun Pharmaceutical Industries Ltd.(L),SUNPHARMA.NS,113633,1.13633E+12
