,Prior,Historical,Posterior,Views,Posterior_confidence
ASIANPAINT,0.023312189940801586,0.29813162636789065,0.08264932082013471,0.134039338,0.10377085191752862
AXISBANK,0.023846159620220395,0.16494567002359556,0.05984965090085525,0.080620015,0.061699455500335995
BAJFINANCE,0.02375709582235475,0.5411256109720485,0.13304997442109426,0.23223383,0.13454735369488569
BHARTIARTL,0.02558548974722929,0.11942784328949066,0.04854357979712651,0.06329739200000001,0.05502878217390343
HCLTECH,0.02350403017189951,0.25754875754559253,0.07421347543504855,0.11778855,0.0922122051435621
HDFC,0.026085576886043807,0.15136198430984807,0.056232156883706544,0.074360553,0.06429390317674216
HDFCBANK,0.028896554745132884,0.21866978983407334,0.07209950417403801,0.105196844,0.08602606284325047
HINDUNILVR,0.02791065662670674,0.2477614231215327,0.0755253862035322,0.116377075,0.09238744750905323
ICICIBANK,0.02530343730332957,0.19231931612201245,0.0659937803897889,0.09249049599999999,0.0774819051605402
INFY,0.025462155691042185,0.2030432128486666,0.06484620777959409,0.096939482,0.07825641702336063
ITC,0.024404837063855902,0.14107212355250753,0.05144610868021336,0.071356641,0.059938602483297174
KOTAKBANK,0.025304905308219258,0.21663344537149254,0.06938889323611236,0.102309112,0.08329341744802524
LT,0.023589723446985098,0.08587111771989984,0.04235242768203105,0.048612752,0.046674183081336765
MARUTI,0.023798446192320296,0.177432186506525,0.059958724541633465,0.08565260300000001,0.06603069364769187
NESTLEIND,0.024851148177568373,0.5794740746628849,0.13918685802635988,0.248298678,0.18317995697682815
RELIANCE,0.0362750867080988,0.1535916359653279,0.06518237633953074,0.083181537,0.07649492105752187
SBIN,0.024164593720201903,0.11635864681454001,0.04931730198274665,0.06122452900000001,0.05080948006593718
SUNPHARMA,0.02260298993389865,0.1717403961198143,0.05601889539343704,0.08268945700000001,0.07235587814663624
TCS,0.03200717683775214,0.22421648675322522,0.07400363056980296,0.109229433,0.08864199384151598
WIPRO,0.022796212827148728,0.09890635163785232,0.041639409259477365,0.053436169000000006,0.044802618776393376
