Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M India Ltd,INE470A01017,18033.6
541988,AAVAS Financiers Ltd,INE216P01012,1012.4
500488,Abbott India Ltd,INE358A01014,16596.05
500410,ACC Ltd,INE012A01025,1272.15
512599,Adani Enterprises Ltd,INE423A01024,142.65
542066,Adani Gas Ltd,INE399L01023,114.7
541450,Adani Green Energy Ltd,INE364U01010,245.9
532921,Adani Ports and Special Economic Zone,INE742F01042,331.75
533096,Adani Power Ltd,INE814H01011,36.05
539254,Adani Transmission Ltd,INE931S01010,182.15
540691,Aditya Birla Capital Ltd,INE674K01013,44.3
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,118.35
540025,Advanced Enzyme Technologies Ltd,INE837H01020,150.15
500003,Aegis Logistics Ltd,INE208C01025,178.05
532683,AIA Engineering Ltd,INE212H01026,1629.1
532331,Ajanta Pharma Ltd,INE031B01049,1485.2
500710,Akzo Nobel India Ltd,INE133A01011,1812.9
533573,Alembic Pharmaceuticals Ltd,INE901L01018,860.75
539523,Alkem Laboratories Ltd,INE540L01014,2321
506767,Alkyl Amines Chemicals Ltd,INE150B01021,2042.1
532749,AllCargo Logistics Ltd,INE418H01029,68.25
500008,Amara Raja Batteries Ltd,INE885A01032,614.3
540902,Amber Enterprises India Ltd,INE371P01015,1240
500425,Ambuja Cements Ltd,INE079A01024,191.45
533758,APL Apollo Tubes Ltd,INE702C01019,1406.6
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,1336.45
500877,Apollo Tyres Ltd,INE438A01022,98
542484,Arvind Fashions Ltd,INE955V01021,122.4
500477,Ashok Leyland Ltd,INE208A01029,44.35
533271,Ashoka Buildcon Ltd,INE442H01029,51.95
500820,Asian Paints Ltd,INE021A01026,1643.75
540975,Aster DM Healthcare Ltd,INE914M01019,89.9
532830,Astral Polytechnik Ltd,INE006I01046,845.2
506820,AstraZeneca Pharm India,INE203A01020,2912.95
500027,Atul Ltd.,INE100A01010,4401.6
540611,AU Small Finance Bank Ltd,INE949L01017,398.05
524804,Aurobindo Pharma Ltd,INE406A01037,713.85
512573,Avanti Feeds Ltd,INE871C01038,409.95
540376,Avenue Supermarts Ltd,INE192R01011,2308.2
532215,Axis Bank Ltd,INE238A01034,390.85
532977,Bajaj Auto Ltd,INE917I01010,2596.9
533229,Bajaj Consumer Care Ltd,INE933K01021,132
500031,Bajaj Electricals Ltd,INE193E01025,363.65
500034,Bajaj Finance Ltd,INE296A01024,1946.85
532978,Bajaj Finserv Ltd,INE918I01018,4285.4
500490,Bajaj Holdings and Investment Ltd,INE118A01012,1997.5
502355,Balkrishna Industries Ltd,INE787D01026,1105.2
523319,Balmer Lawrie & Co. Ltd.,INE164A01016,103.8
500038,Balrampur Chini Mills Ltd,INE119A01028,99.1
541153,Bandhan Bank Ltd,INE545U01014,221.85
532134,Bank of Baroda,INE028A01039,38.6
532149,Bank of India,INE084A01016,32
532525,Bank Of Maharashtra,INE457A01014,8.54
500042,BASF India Limited,INE373A01013,1085.55
500043,Bata India Ltimited,INE176A01028,1301.3
506285,Bayer CropScience Ltd/India,INE462A01022,5378.5
500048,BEML Ltd,INE258A01016,602.6
509480,Berger Paints India Ltd,INE463A01038,460.5
541143,Bharat Dynamics Ltd,INE171Z01018,238.5
500049,Bharat Electronics Ltd,INE263A01024,69.55
500493,Bharat Forge Ltd,INE465A01025,307
500103,Bharat Heavy Electricals Ltd,INE257A01026,26.85
500547,Bharat Petroleum Corp Ltd,INE029A01011,325.85
532454,Bharti Airtel Ltd,INE397D01024,562.7
534816,Bharti Infratel Ltd.,INE121J01017,223.85
532523,Biocon Ltd,INE376G01013,345.55
500335,Birla Corp Ltd,INE340A01012,549.6
506197,Bliss Gvs Pharma Ltd,INE416D01022,94.05
526612,Blue Dart Express Ltd,INE233B01017,2009.55
500067,Blue Star Ltd,INE472A01039,486.6
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,915.65
500020,Bombay Dyeing & Manufacturing Co Ltd,INE032A01023,47.35
500530,Bosch Ltd,INE323A01026,9844.05
532929,Brigade Enterprises Ltd,INE791I01019,101.4
500825,Britannia Industries Ltd.,INE216A01030,3322.35
532321,Cadila Healthcare Ltd,INE010B01027,338.05
511196,Can Fin Homes Ltd,INE477A01020,282.15
532483,Canara Bank,INE476A01014,83.25
524742,Caplin Point Laboratories Ltd,INE475E01026,315.25
531595,Capri Global Capital  LTD,INE180C01026,146.15
