date,open,low,high,close,volume
2010-01-04,538.96,533.17,547.4,534.87,1176220.0
2010-01-05,541.6,533.22,546.0,536.69,1650740.0
2010-01-06,540.0,532.25,540.0,539.27,2017460.0
2010-01-07,535.44,525.11,539.0,529.23,3453515.0
2010-01-08,530.0,518.07,533.46,520.01,11425060.0
2010-01-09,530.0,518.07,533.46,520.01,11425060.0
2010-01-10,530.0,518.07,533.46,520.01,11425060.0
2010-01-11,522.4,516.06,528.89,520.02,5018150.0
2010-01-12,523.6,509.6,523.76,511.93,5502200.0
2010-01-13,519.74,501.61,519.76,508.78,4086970.0
2010-01-14,507.01,503.0,511.15,504.99,4576305.0
2010-01-15,506.0,501.0,507.6,504.3,2703750.0
2010-01-16,506.0,501.0,507.6,504.3,2703750.0
2010-01-17,506.0,501.0,507.6,504.3,2703750.0
2010-01-18,505.0,502.59,517.74,511.49,3008855.0
2010-01-19,516.0,500.8,518.0,502.1,6616760.0
2010-01-20,506.25,499.2,510.38,505.45,7543215.0
2010-01-21,506.01,485.02,507.0,487.4,4913965.0
2010-01-22,485.02,389.93,488.36,481.74,6588655.0
2010-01-23,485.02,389.93,488.36,481.74,6588655.0
2010-01-24,485.02,389.93,488.36,481.74,6588655.0
2010-01-25,480.0,473.4,480.0,476.39,2996995.0
2010-01-26,480.0,473.4,480.0,476.39,2996995.0
2010-01-27,475.88,460.0,475.88,461.11,8868575.0
2010-01-28,468.0,461.2,477.2,469.37,4871315.0
2010-01-29,468.0,468.0,484.0,476.77,7171750.0
2010-01-30,468.0,468.0,484.0,476.77,7171750.0
2010-01-31,468.0,468.0,484.0,476.77,7171750.0
2010-02-01,477.6,469.22,480.0,477.34,4197495.0
2010-02-02,483.4,478.04,488.0,484.01,5587645.0
2010-02-03,482.53,482.53,505.2,503.13,5122225.0
2010-02-04,501.0,480.43,501.8,483.7,3487600.0
2010-02-05,479.8,468.02,482.76,477.96,2557845.0
2010-02-06,480.0,476.46,482.5,479.32,164205.0
2010-02-07,480.0,476.46,482.5,479.32,164205.0
2010-02-08,480.05,465.0,488.0,478.7,2858050.0
2010-02-09,477.0,473.67,483.94,479.46,1798960.0
2010-02-10,481.0,473.34,484.77,476.07,3316605.0
2010-02-11,479.4,475.0,484.0,476.5,1597575.0
2010-02-12,479.4,475.0,484.0,476.5,1597575.0
2010-02-13,479.4,475.0,484.0,476.5,1597575.0
2010-02-14,479.4,475.0,484.0,476.5,1597575.0
2010-02-15,472.31,472.31,480.8,478.18,1815300.0
2010-02-16,478.8,476.04,490.0,485.64,1438905.0
2010-02-17,488.4,488.4,495.0,492.79,1747545.0
2010-02-18,491.01,489.0,497.8,496.19,1720570.0
2010-02-19,493.94,485.57,499.8,496.0,2053805.0
2010-02-20,493.94,485.57,499.8,496.0,2053805.0
2010-02-21,493.94,485.57,499.8,496.0,2053805.0
2010-02-22,500.0,496.1,504.8,496.92,1629420.0
2010-02-23,493.6,492.47,507.0,503.74,3142610.0
2010-02-24,501.0,497.0,506.76,498.57,1770885.0
2010-02-25,499.8,491.33,505.59,492.5,2176185.0
2010-02-26,494.96,489.16,505.94,500.06,2828490.0
2010-02-27,494.96,489.16,505.94,500.06,2828490.0
2010-02-28,494.96,489.16,505.94,500.06,2828490.0
2010-03-01,494.96,489.16,505.94,500.06,2828490.0
2010-03-02,503.06,499.09,514.4,512.06,3122775.0
2010-03-03,511.0,509.08,522.0,520.93,3366985.0
2010-03-04,518.8,516.0,522.48,519.24,2140575.0
2010-03-05,521.2,515.0,525.55,517.67,1984085.0
2010-03-06,521.2,515.0,525.55,517.67,1984085.0
2010-03-07,521.2,515.0,525.55,517.67,1984085.0
2010-03-08,520.4,517.0,524.8,522.25,2110775.0
2010-03-09,521.4,517.32,533.0,531.85,4408740.0
2010-03-10,532.8,530.22,542.4,541.15,4806005.0
2010-03-11,540.2,536.5,543.0,540.31,2195310.0
2010-03-12,540.51,534.28,544.0,543.14,2785990.0
2010-03-13,540.51,534.28,544.0,543.14,2785990.0
2010-03-14,540.51,534.28,544.0,543.14,2785990.0
2010-03-15,541.0,533.4,543.14,535.05,1720195.0
2010-03-16,536.0,530.6,540.72,537.77,2658345.0
2010-03-17,541.0,538.6,546.95,545.35,2037165.0
2010-03-18,547.0,544.06,551.9,547.59,2639660.0
2010-03-19,548.0,535.62,549.0,538.89,5641900.0
2010-03-20,548.0,535.62,549.0,538.89,5641900.0
2010-03-21,548.0,535.62,549.0,538.89,5641900.0
2010-03-22,536.4,520.2,536.99,524.97,4131245.0
2010-03-23,528.76,522.02,528.76,524.31,3441455.0
2010-03-24,528.76,522.02,528.76,524.31,3441455.0
2010-03-25,522.0,512.34,524.78,517.23,8878320.0
2010-03-26,519.52,518.42,528.0,522.6,2220140.0
2010-03-27,519.52,518.42,528.0,522.6,2220140.0
2010-03-28,519.52,518.42,528.0,522.6,2220140.0
2010-03-29,524.94,523.02,537.0,532.22,3507575.0
2010-03-30,534.02,526.2,537.94,527.74,2555415.0
2010-03-31,533.6,523.2,546.74,543.44,4273085.0
2010-04-01,543.98,543.0,558.8,556.51,3274475.0
2010-04-02,543.98,543.0,558.8,556.51,3274475.0
2010-04-03,543.98,543.0,558.8,556.51,3274475.0
2010-04-04,543.98,543.0,558.8,556.51,3274475.0
2010-04-05,559.0,553.59,560.94,559.01,2319815.0
2010-04-06,561.02,555.4,567.0,564.99,2782870.0
2010-04-07,566.0,556.0,566.4,561.31,1860015.0
